task,node,topic,timer_handle,callback_duration_us
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,90.271
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,85.585
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,74.593
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,53.175
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,101.607
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,71.43
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,77.177
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,143.088
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,339.043
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,50.896
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,58.131
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,113.097
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,91.922
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,89.059
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,68.045
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,78.424
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,98.756
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,40.526
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,92.459
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,45.897
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,94.787
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,101.884
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,90.168
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,92.886
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,87.75
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,61.066
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,55.212
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,99.219
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,92.373
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,77.281
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,62.179
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,72.94
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,87.631
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,58.408
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,35.11
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,285.416
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,110.662
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,117.168
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,319.804
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,47.655
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,394.995
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,37.49
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,48.495
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,119.848
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,76.801
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,80.722
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,45.096
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,76.492
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,92.526
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,77.563
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,45.451
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,96.309
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,98.265
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,43.543
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,76.467
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,47.049
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,81.84
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,44.752
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,160.902
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,90.588
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,81.194
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,103.042
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,41.563
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,46.947
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,1033.093
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,90.597
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,72.766
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,49.522
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,47.264
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,101.168
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,46.733
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,41.494
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,83.984
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,128.237
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,48.387
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,45.194
state_estimation,aw_localization_node,/novatel_top/bestgnsspos,,91.93
