# x_m,y_m,w_tr_right_m,w_tr_left_m
275.3027,158.3012,8.7926,8.6940
275.3817,159.3005,8.8250,8.7330
275.4538,160.3004,8.8316,8.7654
275.5186,161.3009,8.8224,8.7909
275.5761,162.3020,8.8210,8.8098
275.6271,163.3038,8.8262,8.8226
275.6746,164.3058,8.8350,8.8320
275.7184,165.3086,8.8483,8.8378
275.7548,166.3111,8.8659,8.8369
275.7832,167.3135,8.8895,8.8283
275.8036,168.3156,8.9215,8.8124
275.8160,169.3179,8.9620,8.8226
275.8206,170.3203,8.9430,8.8514
275.8172,171.3231,8.9189,8.8727
275.8058,172.3254,8.9032,8.8866
275.7867,173.3277,8.8959,8.8933
275.7617,174.3295,8.8946,8.8943
275.7361,175.3313,8.8939,8.8948
275.7112,176.3332,8.8926,8.8959
275.6867,177.3350,8.8908,8.8975
275.6624,178.3370,8.8889,8.8990
275.6385,179.3388,8.8905,8.8966
275.6153,180.3405,8.8918,8.8948
275.5923,181.3422,8.8928,8.8933
275.5700,182.3439,8.8931,8.8925
275.5485,183.3455,8.8926,8.8925
275.5271,184.3472,8.8921,8.8925
275.5069,185.3491,8.8903,8.8937
275.4875,186.3511,8.8881,8.8959
275.4684,187.3529,8.8999,8.9026
275.4490,188.3549,8.9119,8.9094
275.4293,189.3569,8.9241,8.9160
275.4101,190.3594,8.9360,8.9230
275.3901,191.3620,8.9488,8.9292
275.3688,192.3652,8.9614,8.9341
275.3465,193.3682,8.9569,8.9380
275.3232,194.3711,8.9535,8.9410
275.2994,195.3741,8.9504,8.9435
275.2752,196.3772,8.9479,8.9455
275.2511,197.3801,8.9453,8.9476
275.2268,198.3831,8.9444,8.9497
275.2024,199.3859,8.9529,8.9518
275.1781,200.3886,8.9611,8.9586
275.1547,201.3911,8.9684,8.9662
275.1314,202.3938,8.9758,8.9737
275.1077,203.3968,8.9836,8.9809
275.0832,204.4001,8.9920,8.9875
275.0590,205.4035,8.9946,8.9942
275.0347,206.4071,8.9917,9.0009
275.0106,207.4109,8.9884,9.0078
274.9864,208.4149,8.9853,9.0146
274.9625,209.4190,8.9819,9.0169
274.9386,210.4235,8.9785,9.0100
274.9156,211.4282,8.9742,9.0040
274.8926,212.4330,8.9698,8.9981
274.8697,213.4377,8.9655,8.9921
274.8467,214.4424,8.9596,8.9862
274.8237,215.4472,8.9535,8.9803
274.8007,216.4519,8.9473,8.9743
274.7778,217.4566,8.9412,8.9684
274.7548,218.4613,8.9351,8.9624
274.7318,219.4661,8.9289,8.9565
274.7089,220.4708,8.9228,8.9505
274.6859,221.4755,8.9166,8.9463
274.6629,222.4802,8.9105,8.9446
274.6400,223.4850,8.9043,8.9428
274.6170,224.4897,8.9006,8.9411
274.5940,225.4944,8.9043,8.9394
274.5711,226.4992,8.9081,8.9376
274.5481,227.5039,8.9118,8.9359
274.5251,228.5086,8.9156,8.9342
274.5021,229.5133,8.9193,8.9324
274.4792,230.5181,8.9231,8.9307
274.4562,231.5228,8.9268,8.9290
274.4332,232.5275,8.9306,8.9272
274.4103,233.5322,8.9343,8.9255
274.3873,234.5370,8.9387,8.9240
274.3643,235.5417,8.9435,8.9225
274.3414,236.5464,8.9483,8.9210
274.3184,237.5512,8.9531,8.9195
274.2954,238.5559,8.9579,8.9180
274.2724,239.5606,8.9627,8.9165
274.2495,240.5653,8.9676,8.9151
274.2265,241.5701,8.9724,8.9136
274.2035,242.5748,8.9772,8.9185
274.1806,243.5795,8.9820,8.9253
274.1576,244.5843,8.9868,8.9321
274.1346,245.5890,8.9813,8.9389
274.1117,246.5937,8.9734,8.9456
274.0887,247.5984,8.9656,8.9524
274.0657,248.6032,8.9578,8.9592
274.0427,249.6079,8.9499,8.9653
274.0198,250.6126,8.9421,8.9623
273.9968,251.6173,8.9343,8.9593
273.9738,252.6221,8.9264,8.9563
273.9509,253.6268,8.9186,8.9532
273.9279,254.6315,8.9108,8.9502
273.9049,255.6363,8.9029,8.9472
273.8820,256.6410,8.8951,8.9442
273.8590,257.6457,8.8873,8.9412
273.8360,258.6504,8.8795,8.9381
273.8151,259.5881,8.8717,8.9244
273.7960,260.5123,8.8627,8.9113
273.7786,261.4308,8.8521,8.8999
273.7628,262.3459,8.8460,8.8901
273.7485,263.2497,8.8536,8.8817
273.7353,264.1533,8.8599,8.8746
273.7231,265.0567,8.8655,8.8684
273.7113,265.9598,8.8706,8.8626
