x_m,y_m
404.2748683617683,-1258.146880209446
404.12688524404075,-1238.2404541559517
403.1311089359224,-1202.546554999426
402.51003582251724,-1177.0481488928199
402.1854393904796,-1159.3241705074906
401.5815736941295,-1135.8271599626169
401.46616623271257,-1129.0805745273829
401.2943359016208,-1122.4488456035033
400.7515271252487,-1112.732444288209
400.0537053372245,-1105.0187804931775
399.24303921638057,-1097.534824827686
398.7482720836997,-1093.557773353532
397.24136658164207,-1085.2220759885386
395.7433111483697,-1077.9155954727903
394.0156359022949,-1070.611095411703
392.0593244401971,-1063.4229318937287
389.755143168848,-1055.8374886391684
387.57265741506126,-1049.0515576321632
385.33817566314247,-1042.8950830781832
382.5782037161989,-1035.7138505280018
379.70834003190976,-1029.105389105156
376.1768646442797,-1021.8221315788105
372.08872739307117,-1013.7374171707779
368.58791525673587,-1007.1915745437145
363.75352734001353,-999.113283649087
357.85015826218296,-990.101776080206
352.4456720270682,-982.4858483010903
345.76797454687767,-973.6800458850339
338.57610421068966,-965.1645722975954
332.5475674699992,-958.4117392720655
323.45464595698286,-949.3398804077879
314.07997357693966,-940.6716108852997
306.10021203698125,-933.992713325657
296.39391098869964,-926.8140014829114
288.7694021415664,-921.3900373773649
280.68812172755133,-916.255895701237
273.3589970176108,-911.801469841972
264.6502132132882,-907.1301517244428
255.82908381160814,-902.7456962056458
246.08949539030436,-898.3691108804196
239.22774112480693,-895.6832682341337
228.28513308544643,-891.6028870167211
220.6278146286495,-889.0382140530273
212.97442266205326,-886.9309487817809
205.72531511518173,-885.1061161234975
198.01844758621883,-883.456743368879
188.35788085241802,-881.5953817274421
177.83968554786406,-880.1416233154014
168.41609241173137,-879.1359211774543
158.99495074385777,-878.4160912847146
