Time;Architect frame position - Earth-fixed/X;Architect frame position - Earth-fixed/Y;Architect frame position - Earth-fixed/Z;Architect frame position - Earth-fixed/Roll;Architect frame position - Earth-fixed/Pitch;Architect frame position - Earth-fixed/Yaw;CoG position/X;CoG position/Y;CoG position/Z;CoG position/Roll;CoG position/Pitch;CoG position/Yaw;Speed/X;Speed/Y;Speed/Z;Roll speed;Pitch speed;Yaw speed;CoG Acceleration/X;CoG Acceleration/Y;CoG Acceleration/Z;Roll acceleration;Pitch acceleration;Yaw acceleration;Tangential speed;Engine speed;Gas pedal
s;m;m;m;rad;rad;rad;m;m;m;rad;rad;rad;m/s;m/s;m/s;rad/s;rad/s;rad/s;m/s²;m/s²;m/s²;rad/s²;rad/s²;rad/s²;m/s;rad/s;
0.49004;-303.23;-1447.33;0.00626275;-0.0006235;-0.00613895;1.58828;-303.23;-1445.6;0.252936;0.0006235;0.00613895;-1.55331;-0.00379372;-0.000126412;-0.0022094;0.000543235;-0.000243752;0.000142101;0.00745938;-0.000390924;-0.00510975;0.00104881;-0.00347975;0.00033205;-0.00379372;196.004;0.384217
0.500041;-303.23;-1447.33;0.00624324;-0.000638926;-0.00613661;1.58828;-303.23;-1445.6;0.252913;0.000638926;0.00613661;-1.55331;-0.00372272;-0.000128434;-0.00209004;0.000539797;-0.000255006;0.000145663;0.00741673;-0.000286523;0.00483188;0.000250893;-0.00216945;0.000353798;-0.00372272;198.212;0.397024
0.510042;-303.23;-1447.33;0.00622554;-0.000661858;-0.00613436;1.58828;-303.23;-1445.6;0.252892;0.000661858;0.00613436;-1.55331;-0.00365101;-0.000159396;-0.00193718;0.000615777;-0.000252833;0.000148028;0.00737036;-0.000784814;0.0130347;0.00123219;-0.000897349;0.00034504;-0.00365101;200.809;0.410323
0.520043;-303.23;-1447.33;0.00621362;-0.000708888;-0.00613244;1.58828;-303.23;-1445.6;0.252878;0.000708888;0.00613244;-1.55331;-0.003577;-0.000283276;-0.00167683;0.000946745;-0.000207552;0.000146551;0.00731209;-0.00321817;0.0156549;0.00792605;0.000252119;0.000238335;-0.003577;204.652;0.425201
0.530044;-303.23;-1447.33;0.00620171;-0.000755917;-0.00613053;1.58828;-303.23;-1445.6;0.252864;0.000755917;0.00613053;-1.55331;-0.00350299;-0.000407157;-0.00141647;0.00127771;-0.000162271;0.000145074;0.00725382;-0.00565153;0.0182751;0.0146199;0.00140159;0.000131629;-0.00350299;208.495;0.44008
0.540045;-303.23;-1447.33;0.0061898;-0.000802946;-0.00612861;1.58829;-303.23;-1445.6;0.25285;0.000802946;0.00612861;-1.55331;-0.00342898;-0.000531038;-0.00115611;0.00160868;-0.00011699;0.000143597;0.00719555;-0.00808489;0.0208953;0.0213138;0.00255106;2.49233e-005;-0.00342898;212.339;0.454958
0.550045;-303.23;-1447.33;0.00617789;-0.000849976;-0.00612669;1.58829;-303.23;-1445.6;0.252836;0.000849976;0.00612669;-1.5533;-0.00335497;-0.000654918;-0.000895758;0.00193965;-7.17085e-005;0.000142121;0.00713728;-0.0105183;0.0235155;0.0280076;0.00370052;-8.17823e-005;-0.00335497;216.182;0.469837
0.560046;-303.23;-1447.33;0.00616913;-0.000903982;-0.00612571;1.58829;-303.23;-1445.6;0.252828;0.000903982;0.00612571;-1.5533;-0.00328399;-0.000755994;-0.000678438;0.00220019;-3.15649e-005;0.000141865;0.00706967;-0.0114734;0.024218;0.0304766;0.0042596;-0.000117835;-0.00328399;220.829;0.484874
0.570047;-303.23;-1447.33;0.00616441;-0.00096694;-0.00612593;1.58829;-303.23;-1445.6;0.252825;0.00096694;0.00612593;-1.5533;-0.00321691;-0.000827806;-0.00051634;0.00237035;1.98632e-006;0.000143178;0.00699008;-0.0105316;0.0224598;0.0275244;0.00406111;-6.3227e-005;-0.00321691;226.508;0.500116
0.580048;-303.23;-1447.33;0.0061597;-0.0010299;-0.00612615;1.58829;-303.23;-1445.6;0.252823;0.0010299;0.00612615;-1.5533;-0.00314983;-0.000899617;-0.000354243;0.00254051;3.55375e-005;0.000144491;0.00691049;-0.00958991;0.0207015;0.0245721;0.00386261;-8.61899e-006;-0.00314983;232.188;0.515357
