x,y
182.233,-157.198
182.52,-156.686
182.806,-156.17
183.087,-155.654
183.365,-155.136
183.641,-154.615
183.913,-154.094
184.181,-153.57
184.447,-153.046
184.709,-152.519
184.967,-151.991
185.223,-151.462
185.476,-150.931
185.725,-150.397
185.97,-149.864
186.213,-149.328
186.452,-148.791
186.687,-148.252
186.92,-147.712
187.149,-147.171
187.376,-146.628
187.598,-146.083
187.817,-145.538
188.033,-144.992
188.245,-144.444
188.455,-143.894
188.66,-143.343
188.863,-142.792
189.062,-142.239
189.259,-141.685
189.451,-141.129
189.64,-140.573
189.826,-140.015
190.008,-139.456
190.188,-138.896
190.363,-138.335
190.536,-137.773
190.705,-137.21
190.871,-136.647
191.034,-136.082
191.193,-135.516
191.348,-134.949
191.501,-134.381
191.65,-133.812
191.795,-133.243
191.939,-132.673
192.077,-132.101
192.213,-131.529
192.345,-130.956
192.475,-130.382
192.6,-129.809
192.722,-129.233
192.842,-128.657
192.958,-128.081
193.07,-127.504
193.18,-126.926
193.285,-126.347
193.387,-125.768
193.487,-125.188
193.583,-124.608
193.676,-124.027
193.765,-123.446
193.852,-122.864
193.934,-122.281
194.014,-121.698
194.089,-121.115
194.162,-120.531
194.232,-119.947
194.299,-119.362
194.361,-118.778
194.421,-118.192
194.478,-117.606
194.531,-117.021
194.581,-116.434
194.628,-115.847
194.672,-115.26
194.712,-114.673
194.749,-114.085
194.783,-113.498
194.814,-112.91
194.841,-112.322
194.865,-111.734
194.886,-111.146
194.904,-110.557
194.918,-109.968
194.929,-109.379
194.937,-108.791
194.943,-108.202
194.944,-107.613
194.943,-107.025
194.938,-106.436
194.931,-105.847
194.919,-105.258
194.905,-104.669
194.888,-104.081
194.867,-103.492
194.844,-102.904
194.816,-102.315
194.786,-101.727
194.754,-101.139
194.717,-100.551
194.677,-99.9632
194.635,-99.3759
194.59,-98.7885
194.541,-98.2011
194.487,-97.6146
194.426,-97.0289
194.363,-96.4432
194.299,-95.8575
194.232,-95.2727
194.164,-94.6879
194.094,-94.1031
194.022,-93.5183
193.949,-92.9335
193.873,-92.3495
193.796,-91.7655
193.709,-91.1833
193.62,-90.601
193.527,-90.0188
193.431,-89.4383
193.333,-88.8569
193.23,-88.2772
193.126,-87.6975
193.018,-87.1187
192.906,-86.5399
192.793,-85.9628
192.675,-85.3857
192.554,-84.8086
192.431,-84.2332
192.304,-83.6578
192.174,-83.0832
192.042,-82.5095
191.907,-81.9367
191.767,-81.3647
191.626,-80.7928
191.48,-80.2225
191.333,-79.6522
191.181,-79.0837
191.026,-78.5152
190.87,-77.9483
190.709,-77.3815
190.546,-76.8164
190.379,-76.2521
190.209,-75.6878
190.037,-75.1253
189.862,-74.5636
189.683,-74.0027
189.501,-73.4436
189.315,-72.8845
189.128,-72.3271
188.937,-71.7705
188.742,-71.2148
188.546,-70.6608
188.345,-70.1077
188.142,-69.5554
187.936,-69.004
187.726,-68.4543
187.514,-67.9063
187.299,-67.3591
187.08,-66.8129
186.858,-66.2674
186.634,-65.7246
186.406,-65.1817
186.175,-64.6414
185.942,-64.1011
185.706,-63.5634
185.466,-63.0265
185.223,-62.4905
184.977,-61.9571
184.729,-61.4245
184.477,-60.8928
184.221,-60.3636
183.964,-59.8353
183.703,-59.3087
183.438,-58.783
183.171,-58.2598
182.901,-57.7375
182.628,-57.2169
182.352,-56.698
182.073,-56.1809
181.791,-55.6654
181.506,-55.1517
181.218,-54.6396
180.927,-54.1293
180.633,-53.6207
180.336,-53.1129
180.035,-52.6078
179.733,-52.1043
179.427,-51.6034
179.118,-51.1033
178.806,-50.605
178.491,-50.1092
178.173,-49.6152
177.852,-49.1228
177.529,-48.6322
177.202,-48.1442
176.873,-47.6578
176.54,-47.1732
176.205,-46.6911
175.866,-46.2108
175.525,-45.7321
175.181,-45.256
174.833,-44.7817
174.484,-44.3099
174.132,-43.8398
173.775,-43.3723
173.417,-42.9065
173.056,-42.4433
172.692,-41.9818
172.324,-41.5228
171.954,-41.0656
171.582,-40.6118
171.206,-40.1597
170.829,-39.7093
170.448,-39.2615
170.064,-38.8162
169.677,-38.3735
169.287,-37.9334
168.895,-37.495
168.5,-37.0592
168.103,-36.6259
167.703,-36.1952
167.3,-35.7671
166.895,-35.3407
166.486,-34.9177
166.075,-34.4965
165.662,-34.0786
165.246,-33.6625
164.827,-33.2489
164.405,-32.8388
163.981,-32.4303
163.555,-32.0253
163.126,-31.622
162.694,-31.2222
162.26,-30.8249
161.824,-30.4301
161.384,-30.038
160.943,-29.6484
160.499,-29.2614
160.053,-28.8778
159.604,-28.4967
159.153,-28.1183
158.699,-27.7424
158.243,-27.3691
157.786,-26.9992
157.325,-26.6318
156.862,-26.2671
156.397,-25.9057
155.929,-25.547
155.46,-25.1908
154.988,-24.838
154.514,-24.4878
154.037,-24.141
153.56,-23.7959
153.079,-23.4552
152.596,-23.1161
152.112,-22.7804
151.625,-22.4482
151.136,-22.1185
150.645,-21.7915
150.153,-21.4678
149.658,-21.1476
149.162,-20.8299
148.663,-20.5148
148.163,-20.2031
147.661,-19.894
147.157,-19.5883
146.65,-19.2852
146.143,-18.9855
145.633,-18.6893
145.123,-18.3956
144.61,-18.1045
144.096,-17.8176
143.579,-17.5325
143.061,-17.2508
142.542,-16.9725
142.022,-16.6976
141.499,-16.4254
140.975,-16.1556
140.449,-15.8893
139.922,-15.6265
139.393,-15.3662
138.864,-15.1093
138.333,-14.855
137.8,-14.6041
137.267,-14.3567
136.732,-14.1118
136.196,-13.8694
135.658,-13.6306
135.12,-13.3951
134.58,-13.1622
134.038,-12.9327
133.497,-12.7067
132.954,-12.4832
132.41,-12.2623
131.865,-12.0448
131.318,-11.8307
130.771,-11.6192
130.223,-11.4103
129.675,-11.2048
129.124,-11.0027
128.575,-10.8032
128.023,-10.6071
127.471,-10.4136
126.918,-10.2227
126.364,-10.0352
125.81,-9.85021
125.256,-9.66868
124.701,-9.48973
124.145,-9.3142
123.588,-9.14123
123.031,-8.97084
122.474,-8.80387
121.915,-8.63947
121.357,-8.47764
120.798,-8.31838
120.24,-8.16254
119.68,-8.01012
119.12,-7.85942
118.561,-7.71215
118,-7.56744
117.439,-7.4253
116.88,-7.28574
116.319,-7.14959
115.757,-7.01516
115.197,-6.88415
114.636,-6.75572
114.075,-6.62985
113.515,-6.50655
112.954,-6.38581
112.393,-6.26765
111.832,-6.15206
111.272,-6.03903
110.711,-5.92858
110.151,-5.82069
109.591,-5.71537
109.031,-5.61262
108.473,-5.51244
107.913,-5.41397
107.355,-5.31807
106.796,-5.22474
106.238,-5.13397
105.68,-5.04578
105.123,-4.9593
104.567,-4.87538
104.01,-4.79318
103.455,-4.71355
102.9,-4.63649
102.346,-4.56114
101.792,-4.48836
101.239,-4.41815
100.686,-4.34879
100.134,-4.28286
99.5835,-4.21778
99.0328,-4.15528
98.4832,-4.09448
97.9347,-4.03626
97.3862,-3.97974
96.8388,-3.92494
96.2926,-3.87271
95.7474,-3.82134
95.2034,-3.77253
94.6593,-3.72544
94.1164,-3.68005
93.5745,-3.63639
93.0349,-3.59443
92.4953,-3.55419
91.9557,-3.51565
91.4183,-3.47884
90.8821,-3.44287
90.3469,-3.40948
89.8128,-3.37694
89.2799,-3.34697
88.7481,-3.31786
88.2173,-3.2896
87.6877,-3.26306
87.1592,-3.23823
86.6329,-3.21511
86.1066,-3.19285
85.5826,-3.17144
85.0585,-3.1526
84.5367,-3.13377
84.017,-3.11664
83.4974,-3.10037
82.9789,-3.08582
82.4626,-3.07212
81.9474,-3.05927
81.4345,-3.04814
80.9215,-3.03701
80.4108,-3.02759
79.9011,-3.01903
79.3937,-3.01132
78.8863,-3.00447
78.3811,-2.99848
77.8782,-2.99334
77.3763,-2.98906
76.8756,-2.98478
76.3759,-2.98221
75.8785,-2.9805
75.3822,-2.97879
74.8881,-2.97793
74.3951,-2.97793
73.9033,-2.97793
73.4136,-2.97879
72.9262,-2.9805
72.4388,-2.98221
71.9536,-2.98393
71.4706,-2.98735
70.9887,-2.98992
70.508,-2.99335
70.0294,-2.99763
69.5531,-3.00191
69.0768,-3.00619
68.6038,-3.01047
68.1308,-3.01561
67.66,-3.02075
67.1915,-3.02588
66.7241,-3.03102
66.2577,-3.03702
65.7936,-3.04215
65.3317,-3.04815
64.871,-3.05329
64.4113,-3.05928
63.9538,-3.06442
63.4975,-3.07041
63.0434,-3.07555
62.5904,-3.08069
62.1385,-3.08668
61.6888,-3.09182
