x,y,z,
-193.786,-137.265,-0.869826,
-198.351,-134.361,-0.824995,
-129.467,-219.646,2.29077,
-156.558,-208.212,1.12432,
-196.344,-133.616,-0.874787,
-33.3358,-203.501,-0.663702,
-133.569,-217.316,1.22757,
-160.545,-205.85,1.04337,
-123.807,-219.821,1.30244,
-150.968,-208.333,0.319644,
-43.2098,-196.527,-0.751451,
-121.568,-220.157,1.2846,
-148.533,-208.447,0.223657,
-18.876,-205.306,-0.731426,
-160.095,-202.295,0.173774,
-145.631,-208.847,0.126927,
-36.6864,-196.386,-0.740446,
-42.5625,-193.993,-0.728233,
-120.243,-216.471,0.176004,
-34.5841,-196.843,-0.712619,
1.39813,-211.363,-0.639775,
-160.85,-200.873,0.074459,
-103.499,-222.837,1.23012,
-172.386,-193.344,0.251379,
-190.778,-128.491,-0.95857,
-120.42,-215.232,0.0277732,
-105.397,-220.196,0.325856,
-174.201,-191.114,0.172465,
-193.821,-124.715,-0.909883,
-186.123,-185.708,1.20378,
-109.61,-217.778,0.116678,
-93.856,-223.186,1.2337,
-197.146,-122.518,-0.835902,
-189.111,-182.412,1.21823,
-91.4781,-223.252,1.31723,
-193.945,-121.629,-0.930292,
-187.888,-181.994,0.744278,
-88.1121,-223.36,1.25098,
-191.387,-122.381,-0.782792,
-191.077,-179.114,0.910273,
-90.5867,-219.61,0.152411,
-82.34,-223.326,1.1935,
-193.863,-176.014,0.953536,
-191.734,-119.342,-0.774539,
-189.535,-175.768,0.181573,
-196.623,-172.884,1.1212,
-192.825,-115.96,-0.912503,
-11.809,-193.763,-0.267845,
-206.049,-110.071,-0.598371,
-72.508,-223.194,1.25965,
-202.41,-110.076,-0.848525,
-209.692,-107.487,-0.212635,
-192.751,-113.069,-0.945831,
-67.5431,-223.271,1.30776,
-191.902,-113.255,-0.844702,
2.16024,-194.089,-0.337112,
-200.253,-107.511,-0.915035,
-66.7225,-219.899,0.144903,
-199.352,-163.443,0.274716,
-58.0509,-222.825,0.762481,
-201.131,-103.638,-0.877227,
-69.7219,-218.821,0.0198365,
-55.6283,-222.597,0.790786,
-60.2974,-220.099,0.0465739,
-204.486,-101.4,-0.244824,
19.4533,-195.841,-0.855047,
-58.7292,-220.437,0.0872127,
-50.5386,-222.073,0.69342,
-201.641,-158.169,0.21395,
-61.0202,-218.44,0.0734652,
-45.25,-222.384,0.786376,
-52.3307,-220.603,0.119741,
-58.3245,-218.291,0.105353,
-43.5909,-222.23,0.702941,
-194.176,-101.589,-0.930388,
-41.6398,-222.044,0.565563,
-45.7217,-220.465,0.0683743,
-191.965,-100.93,-0.779515,
-205.278,-151.586,0.260321,
-201.648,-95.6342,-0.856444,
-199.302,-95.2442,-0.880886,
-210.352,-88.5369,-0.0556364,
-204.566,-149.585,0.0806328,
-201.397,-92.6361,-0.86435,
-191.722,-94.3524,-0.842633,
-198.854,-140.194,-0.718326,
-165.778,-204.697,2.35979,
-196.127,-142.731,-0.770092,
-199.708,-145.747,-0.521904,
-162.616,-205.646,1.70714,
-196.134,-136.946,-0.82646,
-101.089,-194.953,-0.920993,
-139.543,-215.299,1.04331,
-160.359,-207.539,2.23924,
-181.784,-158.007,-0.764185,
-127.75,-218.363,0.954187,
-196.081,-146.251,-0.303449,
-31.6107,-203.002,-0.66663,
-28.6686,-202.714,-0.660689,
-210.244,-86.2052,-0.0140167,
-22.555,-205.602,-0.733938,
-124.035,-216.888,0.306794,
-193.013,-146.49,-0.790747,
-139.536,-211.664,0.200136,
-194.532,-98.5912,-0.94839,
-28.6516,-199.434,-0.652051,
-191.931,-97.3532,-0.776727,
-12.682,-205.938,-0.730863,
