Time;Architect frame position - Earth-fixed/X;Architect frame position - Earth-fixed/Y;Architect frame position - Earth-fixed/Z;Architect frame position - Earth-fixed/Roll;Architect frame position - Earth-fixed/Pitch;Architect frame position - Earth-fixed/Yaw;CoG position/X;CoG position/Y;CoG position/Z;CoG position/Roll;CoG position/Pitch;CoG position/Yaw;Speed/X;Speed/Y;Speed/Z;Roll speed;Pitch speed;Yaw speed;CoG Acceleration/X;CoG Acceleration/Y;CoG Acceleration/Z;Roll acceleration;Pitch acceleration;Yaw acceleration;Tangential speed;Engine speed;Gas pedal
s;m;m;m;rad;rad;rad;m;m;m;rad;rad;rad;m/s;m/s;m/s;rad/s;rad/s;rad/s;m/s²;m/s²;m/s²;rad/s²;rad/s²;rad/s²;m/s;rad/s;
0.470006;289.767;-917.048;0.275142;0.164729;-0.00724676;-0.564504;291.199;-918.035;0.515576;-0.164729;0.00724676;2.57709;0.00489297;0.0330082;-0.00362115;0.000703205;-0.000479401;4.87611e-005;0.0277696;-0.011987;0.00732725;0.0029971;-0.00353464;0.000569965;0.00489297;192.985;0.365325
0.480006;289.767;-917.048;0.275058;0.164715;-0.00724191;-0.564503;291.198;-918.035;0.515486;-0.164715;0.00724191;2.57709;0.00516038;0.0329446;-0.0032158;0.000651783;-0.00048156;4.99359e-005;0.0273761;-0.00983828;0.0200108;-0.000107305;-0.00226875;0.000397364;0.00516038;195.155;0.378494
0.490006;289.767;-917.048;0.274975;0.164701;-0.00723707;-0.564502;291.198;-918.036;0.515395;-0.164701;0.00723707;2.57709;0.00542779;0.032881;-0.00281045;0.00060036;-0.000483719;5.11106e-005;0.0269826;-0.0076895;0.0326944;-0.00321171;-0.00100287;0.000224763;0.00542779;197.325;0.391662
0.500006;289.766;-917.048;0.2749;0.164676;-0.00723301;-0.5645;291.198;-918.036;0.515314;-0.164676;0.00723301;2.57709;0.00568539;0.0327863;-0.0023885;0.000684864;-0.000454196;5.11681e-005;0.0266195;-0.00699309;0.0410361;-0.00243807;0.000417105;9.54594e-005;0.00568539;199.959;0.404994
0.510006;289.766;-917.049;0.274838;0.164634;-0.00723025;-0.5645;291.198;-918.036;0.515251;-0.164634;0.00723025;2.57709;0.00592689;0.0326407;-0.00193927;0.000992718;-0.000372614;4.93899e-005;0.0263067;-0.00868318;0.0422434;0.00470794;0.00209029;3.73016e-005;0.00592689;203.357;0.418595
0.520007;289.766;-917.049;0.274777;0.164592;-0.00722748;-0.564499;291.198;-918.036;0.515187;-0.164592;0.00722748;2.57709;0.00616839;0.032495;-0.00149004;0.00130057;-0.000291031;4.76116e-005;0.0259938;-0.0103733;0.0434507;0.0118539;0.00376347;-2.08562e-005;0.00616839;206.754;0.432196
0.530007;289.766;-917.049;0.274715;0.164549;-0.00722472;-0.564498;291.197;-918.037;0.515124;-0.164549;0.00722472;2.57709;0.00640989;0.0323493;-0.00104082;0.00160843;-0.000209448;4.58333e-005;0.0256809;-0.0120634;0.0446579;0.0189999;0.00543665;-7.9014e-005;0.00640989;210.152;0.445797
0.540007;289.766;-917.049;0.274653;0.164507;-0.00722196;-0.564497;291.197;-918.037;0.51506;-0.164507;0.00722196;2.5771;0.00665139;0.0322037;-0.000591589;0.00191628;-0.000127865;4.4055e-005;0.0253681;-0.0137535;0.0458652;0.026146;0.00710984;-0.000137172;0.00665139;213.55;0.459398
0.550007;289.765;-917.05;0.274593;0.164461;-0.00721987;-0.564496;291.197;-918.037;0.514999;-0.164461;0.00721987;2.5771;0.00689267;0.0320736;-0.000182515;0.00219431;-5.13592e-005;4.216e-005;0.025035;-0.0147863;0.0459212;0.0313241;0.00835757;-0.00018672;0.00689267;217.354;0.473382
0.560007;289.765;-917.05;0.274537;0.1644;-0.00722088;-0.564496;291.197;-918.037;0.514949;-0.1644;0.00722088;2.5771;0.00713292;0.0320149;4.25164e-005;0.00233563;1.87774e-006;3.97297e-005;0.024609;-0.0128064;0.0407003;0.0274823;0.00765521;-0.000196808;0.00713292;223.019;0.489123
0.570007;289.765;-917.05;0.274481;0.164339;-0.00722189;-0.564495;291.196;-918.038;0.514899;-0.164339;0.00722189;2.5771;0.00737317;0.0319562;0.000267547;0.00247695;5.51147e-005;3.72994e-005;0.0241831;-0.0108265;0.0354794;0.0236406;0.00695286;-0.000206896;0.00737317;228.685;0.504865
0.580007;289.765;-917.05;0.274425;0.164278;-0.0072229;-0.564495;291.196;-918.038;0.514849;-0.164278;0.0072229;2.5771;0.00761342;0.0318976;0.000492579;0.00261827;0.000108352;3.48692e-005;0.0237571;-0.00884659;0.0302585;0.0197988;0.0062505;-0.000216984;0.00761342;234.351;0.520606
0.590008;289.764;-917.051;0.274369;0.164217;-0.0072239;-0.564495;291.196;-918.038;0.514799;-0.164217;0.0072239;2.5771;0.00785368;0.0318389;0.00071761;0.00275959;0.000161589;3.24389e-005;0.0233312;-0.0068667;0.0250376;0.0159571;0.00554815;-0.000227071;0.00785368;240.016;0.536347
0.600008;289.764;-917.051;0.274316;0.16416;-0.00722519;-0.564495;291.196;-918.038;0.514752;-0.16416;0.00722519;2.5771;0.00807863;0.0318173;0.000854743;0.00281364;0.000191883;3.022e-005;0.0228999;-0.00492923;0.0201633;0.0119055;0.00468358;-0.000230526;0.00807863;246.163;0.550246
0.610008;289.764;-917.051;0.274267;0.164109;-0.00722693;-0.564495;291.195;-918.038;0.51471;-0.164109;0.00722693;2.5771;0.00827845;0.0318565;0.000847462;0.00272431;0.000184483;2.83482e-005;0.0224597;-0.00306144;0.0158586;0.00750913;0.00355248;-0.000223081;0.00827845;253.099;0.561117
0.620008;289.764;-917.051;0.274219;0.164058;-0.00722868;-0.564495;291.195;-918.039;0.514668;-0.164058;0.00722868;2.5771;0.00847827;0.0318957;0.00084018;0.00263498;0.000177083;2.64765e-005;0.0220196;-0.00119365;0.0115539;0.00311279;0.00242139;-0.000215637;0.00847827;260.036;0.571989
0.630008;289.763;-917.051;0.274171;0.164007;-0.00723042;-0.564495;291.195;-918.039;0.514626;-0.164007;0.00723042;2.5771;0.00867808;0.031935;0.000832899;0.00254564;0.000169683;2.46048e-005;0.0215795;0.000674137;0.00724912;-0.00128356;0.0012903;-0.000208193;0.00867808;266.973;0.58286
0.640008;289.763;-917.052;0.274122;0.163956;-0.00723216;-0.564494;291.195;-918.039;0.514585;-0.163956;0.00723216;2.5771;0.0088779;0.0319742;0.000825618;0.00245631;0.000162283;2.27331e-005;0.0211393;0.00254193;0.00294439;-0.0056799;0.000159205;-0.000200749;0.0088779;273.909;0.593732
0.650008;289.763;-917.052;0.274073;0.163911;-0.00723373;-0.564494;291.195;-918.039;0.514541;-0.163911;0.00723373;2.5771;0.00907664;0.0320354;0.000809523;0.00231216;0.000150306;2.18322e-005;0.0206982;0.00450249;-0.000768268;-0.01036;-0.000858896;-0.000174675;0.00907664;281.078;0.603956
0.660008;289.763;-917.052;0.274022;0.163891;-0.00723451;-0.564494;291.194;-918.04;0.514493;-0.163891;0.00723451;2.5771;0.00927046;0.0321971;0.000752984;0.00191643;0.000117324;2.53863e-005;0.0202524;0.00688879;-0.00176393;-0.0163423;-0.00135848;-6.31082e-005;0.00927046;289.314;0.611207
0.670009;289.762;-917.052;0.27397;0.163872;-0.00723528;-0.564494;291.194;-918.04;0.514444;-0.163872;0.00723528;2.5771;0.00946427;0.0323588;0.000696446;0.0015207;8.4342e-005;2.89404e-005;0.0198065;0.0092751;-0.00275959;-0.0223246;-0.00185806;4.84583e-005;0.00946427;297.55;0.618458
0.680009;289.762;-917.053;0.273919;0.163853;-0.00723606;-0.564494;291.194;-918.04;0.514395;-0.163853;0.00723606;2.5771;0.00965809;0.0325205;0.000639908;0.00112497;5.13598e-005;3.24945e-005;0.0193607;0.0116614;-0.00375525;-0.0283069;-0.00235765;0.000160025;0.00965809;305.786;0.62571
0.690009;289.762;-917.053;0.273868;0.163833;-0.00723683;-0.564493;291.193;-918.04;0.514346;-0.163833;0.00723683;2.5771;0.0098519;0.0326822;0.000583369;0.000729242;1.83777e-005;3.60485e-005;0.0189149;0.0140477;-0.00475091;-0.0342892;-0.00285723;0.000271591;0.0098519;314.022;0.632961
0.700009;289.762;-917.053;0.273817;0.163821;-0.00723728;-0.564493;291.193;-918.04;0.514297;-0.163821;0.00723728;2.5771;0.0100371;0.0328113;0.000531031;0.000445064;-3.20645e-006;3.9326e-005;0.0185163;0.0149394;-0.00531289;-0.0359286;-0.00295247;0.000337182;0.0100371;322.17;0.637524
